alt_km,n_total_km3,n_payload_km3,n_rb_km3,n_debris_km3,n_starlink_km3
231,1.28513e-09,1.16531e-09,4.72513e-11,7.25728e-11,6.08179e-10
232,1.01038e-09,8.86403e-10,4.51346e-11,7.88397e-11,6.40366e-10
233,1.15216e-09,1.02259e-09,4.34579e-11,8.61095e-11,7.82319e-10
234,8.29128e-10,6.83341e-10,4.66198e-11,9.91666e-11,4.39502e-10
235,1.4037e-09,1.22444e-09,4.51983e-11,1.3406e-10,6.21109e-10
236,1.2207e-09,9.75918e-10,4.79419e-11,1.96837e-10,2.66694e-10
237,1.39839e-09,1.33803e-09,4.55744e-11,1.47882e-11,5.35194e-10
238,1.49312e-09,1.43476e-09,4.52308e-11,1.31261e-11,8.59174e-10
239,1.40442e-09,1.34052e-09,4.41305e-11,1.97707e-11,5.29303e-10
240,9.55834e-10,8.77649e-10,4.29107e-11,3.52735e-11,5.96219e-10
241,9.9851e-10,9.28999e-10,4.38314e-11,2.56796e-11,6.0365e-10
242,9.69151e-10,8.98896e-10,4.85993e-11,2.16556e-11,7.6651e-10
243,1.27845e-09,1.21037e-09,4.84495e-11,1.96347e-11,1.07734e-09
244,8.97364e-10,8.24161e-10,4.9449e-11,2.37539e-11,6.64675e-10
245,1.13742e-09,1.05655e-09,5.51557e-11,2.57117e-11,6.20169e-10
246,1.19448e-09,1.12209e-09,5.09143e-11,2.14777e-11,8.08711e-10
247,8.85672e-10,8.09652e-10,4.87389e-11,2.72808e-11,4.18264e-10
248,6.61845e-10,5.91252e-10,4.80082e-11,2.25851e-11,4.52017e-10
249,7.78136e-10,7.06407e-10,5.10521e-11,2.06764e-11,5.727e-10
250,9.16464e-10,8.43065e-10,5.39134e-11,1.94859e-11,7.15715e-10
251,6.29399e-10,4.64101e-10,1.46703e-10,1.85951e-11,3.3726e-10
252,6.76299e-10,5.44443e-10,1.13981e-10,1.78759e-11,4.20493e-10
253,7.91725e-10,6.759e-10,9.8555e-11,1.727e-11,5.51521e-10
254,7.42167e-10,6.28995e-10,9.53654e-11,1.78059e-11,5.01231e-10
255,5.84357e-10,4.83157e-10,8.35176e-11,1.76823e-11,3.51649e-10
256,4.84971e-10,3.86561e-10,8.1688e-11,1.67217e-11,2.46319e-10
257,5.04569e-10,3.97945e-10,9.04558e-11,1.6168e-11,2.39961e-10
258,5.83164e-10,4.48496e-10,8.30074e-11,5.16603e-11,2.41391e-10
259,6.18071e-10,4.94687e-10,8.74942e-11,3.58891e-11,2.51671e-10
260,4.34171e-10,3.16445e-10,8.30008e-11,3.47254e-11,2.7766e-10
261,6.38713e-10,5.30363e-10,7.91215e-11,2.9228e-11,4.91858e-10
262,6.71476e-10,5.66894e-10,7.43915e-11,3.01912e-11,5.00881e-10
263,4.59282e-10,3.35021e-10,7.43756e-11,4.98858e-11,2.78473e-10
264,1.50547e-09,1.38165e-09,7.0572e-11,5.32466e-11,6.88139e-10
