theta,k,L,Qd,n,u,M,Qeq,Qstar,Qoa,region_eq,fstar_cournot
1641374.66,58657.3738,446784.167,339561.776,8,0.9717708,22.3787951,290977.028,327296.481,327349.156,2,-197536.989
704881.966,121967.212,6163052.26,45549.1243,7,2.0961154,4.81529003,32694.1319,37295.2494,37364.7222,1,-81492.9907
16014.8165,73586.8453,3688836.2,20608.9715,5,1.01427449,7.53499531,0,0,0,0,-58687.2277
666.053823,57799.4226,1450322.56,615427.25,5,0.766252983,7.82228189,0,0,0,0,-57464.6099
91582.8888,416798.895,2851455.8,332505.51,8,0.475319984,4.01231014,0,0,0,0,-325619.987
592.87157,771407.95,1733012.7,968008.528,6,0.432876924,14.6297616,0,0,0,0,-771038.68
7400.3772,47953.6053,4777696.45,88178.7675,10,0.153989414,12.010027,0,0,0,0,-40772.5171
4657.69513,32295.1155,603594.787,896688.245,5,0.665529512,30.2119793,0,0,0,0,-27757.1551
4629.04792,393059.322,304151.005,155185.31,5,1.4275127,1.86649486,0,0,0,0,-388559.687
7972.28632,760463.35,6133814.76,364806.958,6,0.614971044,2.58965907,0,0,0,0,-753615.391
1689.32366,68231.0689,9176132.4,71985.8269,10,0.546031255,12.8087271,0,0,0,0,-68035.1744
50865.0536,83644.3525,2241044.18,83177.3543,8,2.56398011,9.95866626,0,0,0,0,-34491.9644
1101601.32,32850.102,1788836.24,124846.226,6,0.718034703,12.5318566,103756.55,121016.038,121049.308,1,-177718.813
85997.0638,797033.45,1932374.68,14659.7245,2,0.42631237,15.0882768,0,0,0,0,-711281.929
9384.61233,331594.928,1057358.06,239930.327,4,1.24538204,6.12486007,0,0,0,0,-322602.808
854.471609,155091.504,3043519.1,25642.6843,7,2.6524938,9.23590081,0,0,0,0,-156643.267
952.41343,148599.318,7521926.92,186077.964,6,0.707216729,2.56373187,0,0,0,0,-149232.488
2696.27063,46809.5907,4194709.47,37800.921,4,1.10725707,5.05013884,0,0,0,0,-45497.7081
1891397.75,84470.1382,1878528.92,140604.959,3,0.37409253,8.84346524,100723.329,134284.628,134297.773,2,-602003.602
152457.263,363212.203,2817414.17,605046.705,7,0.521493729,2.8280353,0,0,0,0,-211192.873
1789.85135,340086.07,5943066.82,79679.3613,4,2.8189528,14.2952686,0,0,0,0,-343289.728
8546.36155,400708.345,2914197.73,74254.7316,9,1.32813616,8.77022271,0,0,0,0,-393315.62
19033.3343,30414.0133,873402.186,26547.172,2,0.516394887,6.95120638,0,0,0,0,-11515.1112
15047.3241,85948.5556,751149.753,437632.401,6,1.01408526,14.8280725,0,0,0,0,-71128.2747
584.29083,590474.115,1559169.5,23004.0758,9,1.34517628,29.3756545,0,0,0,0,-590514.968
111852.94,30550.7859,5385976.99,268325.952,5,0.612074248,2.03927194,158393.115,187389.787,190071.738,2,-14703.9208
1947.87452,287616.4,3143269.77,346149.491,3,0.826248427,6.62828268,0,0,0,0,-286442.63
16818.595,105746.917,1723031.51,477245.422,10,4.33075972,6.29265092,0,0,0,0,-91152.4757
311.654122,101846.077,4258958.3,424915.645,6,0.490129489,3.87307147,0,0,0,0,-102156.611
331.030848,67961.5817,582702.749,26458.1226,8,3.99084099,4.29353499,0,0,0,0,-68323.6877
1536.64047,130308.305,1858688.38,317717.924,7,2.24206208,6.86268927,0,0,0,0,-130013.78
129528.053,260271.471,543396.487,40281.0268,7,1.39706374,8.49037117,0,0,0,0,-130969.695
1629.97211,526880.753,2574451.91,15764.1161,5,1.74814062,14.3734532,0,0,0,0,-526592.213
789.934231,31213.1061,6704248.54,681031.802,4,0.59195849,11.1299406,0,0,0,0,-31606.074
22964.5507,208520.345,3968168.39,108504.998,8,0.579662054,2.01453976,0,0,0,0,-186241.397
2571.76951,603906.52,614695.073,305082.757,5,1.49832522,5.55511929,0,0,0,0,-601609.27
4171.4435,40666.8018,2594276.87,36957.2508,4,0.377305833,20.7119856,0,0,0,0,-36787.1126
42576.8574,446185.262,1270104.11,17577.4032,8,0.526859691,10.9365911,0,0,0,0,-403807.858
1727642.2,437023.994,7801059.7,49833.5578,6,1.79577044,3.62354471,31783.911,37047.7488,37081.2294,2,-213051.996
165942.742,352134.913,1198052.27,707831.316,2,0.931352206,18.1164021,0,0,0,0,-186524.752
26552.9342,442059.858,651312.111,155218.99,3,0.94387816,6.8604139,0,0,0,0,-415690.161
6471.43973,408408.011,490987.394,408226.653,8,0.599011838,2.52927618,0,0,0,0,-402024.233
15790.0914,795555.635,2713383.15,21966.4707,8,2.0960615,1.64708725,0,0,0,0,-781460.751
2624060.78,288450.155,5557966.71,495342.346,5,2.3736017,12.6324951,365213.119,436332.201,438255.742,2,-454054.974
6382.90976,272880.166,494237.214,36857.7138,2,1.09903695,5.93128042,0,0,0,0,-266659.159
5359.81722,815053.335,3546222.09,280679.512,6,1.27133794,8.38503968,0,0,0,0,-811037.317
2506501.13,230768.231,2396260.44,86724.0377,5,0.499108201,6.62828268,65601.2944,78715.1309,78721.5533,2,-454852.521
7221.19192,39737.334,6812949.09,253824.949,6,1.35376339,14.5753433,0,0,0,0,-35265.2095
40923.7689,34268.5078,8892546.01,15185.4666,4,1.22189896,1.4885434,1007.17658,1176.21015,1258.97072,1,-573.400787
221595.565,45759.9653,1799040.64,299288.124,3,0.554540273,4.45164188,177397.388,235954.43,236529.851,2,-57943.3563
19978.7033,198866.65,2275504.68,277985.31,4,1.28119725,2.17122981,0,0,0,0,-179756.91
924339.252,77810.3673,3933516.95,22297.924,2,0.627944096,5.78750295,13600.6852,20397.8093,20401.0279,1,-422696.174
522.419771,595571.872,985871.361,440000.227,7,0.771780253,17.4668397,0,0,0,0,-595276.241
1135.04942,83730.0785,909962.937,14126.1422,6,1.20632634,19.9595018,0,0,0,0,-82922.216
21255.8011,329707.74,6476093.14,82110.3306,5,0.265727433,13.8062398,0,0,0,0,-308964.868
16408.326,908414.547,996816.635,81822.5587,6,0.648233559,12.0726264,0,0,0,0,-892198.821
