starlink_current,all_active_current,itu_m1_increment,fcc_50pct_increment
2124.77272,2179.18461,19359.1678,245353.342
2064.10221,1034.37787,23564.4137,243506.402
2324.34281,1970.13135,22572.1351,91047.9953
2008.4741,3087.87784,19593.7733,125502.413
1939.40901,2259.07229,17840.06,169382.276
2408.994,2157.85368,23232.9321,178635.014
1870.49857,2151.64573,21675.3726,81470.1213
2264.31581,3755.09354,46488.4265,114056.639
2249.33243,2018.98488,43420.6506,193474.766
2151.01457,3586.40941,38504.6877,247713.207
1964.15419,2589.43517,20839.8669,115309.642
2437.73327,2020.76703,13130.7748,179716.843
2166.44647,2978.87928,24369.128,61995.3458
2418.81987,1435.00831,28491.8286,52959.2683
2406.86478,2653.58932,39647.4165,84405.9522
2397.59525,1122.92863,28179.644,205968.266
2295.32541,1157.90492,26111.4924,70446.3873
2307.42175,3023.70199,27506.6103,239329.016
2111.15645,2575.70177,38680.3557,235769.354
2135.59072,2139.78249,27481.33,48247.1738
2098.72544,2036.8911,46874.1808,48984.7759
2470.8985,3160.2662,35532.4593,167443.966
2375.24302,2298.50371,24409.341,219909.483
1978.01948,3504.28586,28509.8042,189409.535
2600.34897,1872.34578,48484.2496,219998.197
2492.9327,1221.14965,22233.9873,119331.287
2574.90001,1171.70219,12835.0224,45724.4532
2266.92061,1649.38893,38555.8547,249503.558
2430.58956,1353.49785,38392.3313,38408.9481
1761.51451,1608.37173,28113.8392,105287.625
2663.71309,1991.1302,40698.3188,53150.9374
2248.50451,2427.32858,13887.7888,249699.99
2590.2938,1146.98592,23068.2125,195766.306
2509.98765,3123.68093,32720.8788,172373.585
2582.62635,3441.16584,43274.7201,160373.925
2517.26581,3549.11773,22735.9308,84779.1092
2262.85608,2347.02615,12216.4541,145273.352
2025.84194,1307.6668,36686.7237,248304.524
1766.32617,2676.31565,21454.7961,161360.901
2333.453,3751.85427,39584.9311,164064.422
2064.89225,2577.8006,42791.0924,129213.391
1844.46238,2515.09655,7502.46219,219535.951
1898.20979,2374.22218,32969.9274,136426.287
1856.82516,3650.01528,25515.9345,158753.926
1943.87969,1531.71189,18459.9915,165978.892
2350.42366,3229.72823,15455.8164,154138.356
2312.06911,3825.65862,19452.1803,154745.209
