floorA_days,coupledA_days,floorB_days,coupledB_days
4.510864092190057795e-01,5.800062982552242064e-01,1.356074472071008064e+00,2.158423732193804900e-01
5.252066454310271304e-01,3.284424371001797294e-01,3.607733543237074514e+00,4.143288499424883753e+00
1.136680751453640753e-01,1.413570513678122087e-01,1.972934097157217570e+00,2.872903461820532023e+00
2.432212790096447974e-01,1.700887111572906840e-01,2.643092480534989797e+00,5.055014099082241197e-01
3.123473149800061743e-01,3.490475017416867498e-01,1.641332982633264104e+00,3.706574021750474124e+00
3.292899555416805235e+00,1.181784905810443903e-01,2.006330947297333550e-02,1.164123194088046015e-01
3.415715051671401881e-01,1.848182827906018899e-01,1.543309595649514199e+00,1.484169264747477079e+01
3.362847020079123284e-01,8.048035750661544641e-02,3.683043725492954334e-01,1.180883195339398117e+00
4.338015824810306231e-01,3.251318959211126902e-01,3.444775808288124797e+00,5.792676859521771471e-01
2.706094756563301451e-01,9.922658503794495877e-01,3.178672112322561416e-01,1.044885510383128657e-01
8.316306629340107781e-01,3.356493938227849139e-01,3.788295038525162917e-01,1.110094538987116825e-01
5.722192563657284570e-01,8.273385067089684686e-01,9.807177267185743785e-01,5.642396490371927309e-02
2.286932419468937494e-01,2.701887981618943113e-02,3.401566806643150503e-02,5.564881017619285331e-01
1.514549817187507141e-01,2.317586594336372707e-01,8.695217476686875058e-01,4.009521043998052758e-01
1.077251621364693435e+00,2.401339105655953265e-01,3.379615228732891774e-01,2.830362811169926940e-01
1.992723126869383465e+00,1.754085689007957860e-01,2.425093420036465997e+00,4.780623293276302643e-01
1.262540870229029444e-01,9.799111701870738544e-01,3.703756412863331571e-01,8.038825231900682544e-01
1.418381295733334713e-01,4.865089208325584780e-01,2.926285243610822207e-01,1.014105709006348555e+00
1.302886957072947105e+00,5.290092313759018339e-01,2.242896744462397951e+00,1.389696709296802668e+00
9.021118434882630099e-01,1.800734388495452837e-02,2.486750100181784440e+00,3.521273827832725467e-01
5.720648894585146360e-01,3.690668848152696691e-01,9.794826756630797826e-02,4.914820583235386398e-01
4.471412070729071653e-01,4.320356618740705534e-01,5.347663689764727835e-01,7.420365841998600720e-01
1.537838928965501228e+00,1.048720531497681074e-01,3.698715534643361447e-01,1.802746458216465952e-01
6.253833837758849823e-01,1.808649850568593842e-01,6.781850600759107284e-01,1.818630901030363622e-01
1.808167219339175125e-01,2.175318477078840851e-01,4.474284018186339695e-01,1.982448696185503401e-01
3.025141339528952256e-01,4.558580065156371194e-03,1.651594628577248924e+00,7.303410023855319011e-01
4.169443352140311254e-01,5.957790604940839396e-02,1.742085426353036925e-01,2.264162540756665010e+00
9.210211612097167488e-03,2.050751685265326807e-01,1.443913238150939726e+01,1.245856584778759935e+00
1.322796137352965973e+00,6.330096951577717235e-01,3.923660884269626781e+00,5.691921079660187122e-01
7.894914080667762013e-01,7.291444044892674003e-02,2.251466350321498222e+00,1.161036345303829043e+00
1.089223896354437199e-01,1.704143207204108224e-01,8.013715228691367543e+00,2.776311295625803477e-01
9.428387674176428312e-01,1.661845252350762636e-01,1.676963658813401370e+00,1.099901051328570356e-01
2.210220016914429486e+00,5.177253717667002625e-02,1.965861729291613624e-01,7.862291885266554647e-01
1.061455202912681361e+00,1.457338259934674918e+00,2.129402667317368061e-02,2.028362432788489045e+00
3.600187234770318989e-01,1.186384649305076144e-01,2.599965066965829852e+00,1.303008647275969156e-01
1.931898256662362590e+00,2.516597907767610387e-01,4.347136874500085568e+00,1.992348627169240882e-01
9.170119382751584780e-01,1.767525839916926911e-01,1.949859894735822774e+00,7.786302488938020572e-01
3.773690663116345267e-01,1.047911009671573523e-01,4.083240713393302634e+00,7.765648344462661168e-01
9.893636525051543451e-01,1.129712564771483407e-01,1.883116548943915447e+00,2.493969463402922582e+00
3.037834065379786952e-01,8.198175565444019985e-02,9.958623549904227490e-02,8.641914581593712619e-02
9.932410565845443962e-02,1.802430318960537570e-01,1.272033960383782913e+00,8.519677362269777177e-02
1.270748897225184804e+00,9.177520157775598264e-01,1.311953426681003787e+00,1.040337152457324471e-01
4.257544767226419946e-01,2.993360884282939699e-02,3.293900637814381582e+00,7.142781895959797289e+00
1.255291626303119690e-01,2.061672925700449022e-01,1.721285870870631340e+00,4.573918489134926046e-02
6.649000949490238010e-01,3.827440037300181008e-01,3.090197176296768600e+00,2.011428232163060270e-01
6.367129965382313239e-01,1.002685682066005279e+00,7.847250603062189134e-01,4.141410995061225453e-01
2.423617055235620932e-01,1.418987461865872102e-01,5.928522457579328275e-01,1.749964636603341672e-01
1.007320385198436474e+00,6.876956322246317033e-01,4.798320687295923315e-01,1.643142056981888310e-01
5.212571955326701367e-01,3.257515624252956266e-01,1.937382999265149008e+00,2.397419291798791596e-01
1.593788688654507846e+00,2.439791744847343360e-02,9.205034346427554137e-01,9.524396340081518753e-02
2.760008754190027003e-02,2.014220902238613498e+00,1.042015935408270755e+00,6.538967663365775895e-02
4.837331945760817847e-02,5.097342228696739586e-01,3.876664958007558059e+00,3.523652513911702755e+00
5.584463022562441079e-03,1.610038059507415409e-01,1.370554447226070893e+00,6.719860122337836250e-01
2.800923079880411670e+00,1.394566881108732836e+00,3.919667218302060441e+00,1.336398562037173776e-01
4.412873193838628416e-01,1.395905961470634005e-01,1.992707972511623682e+00,4.291723175354617559e-01
2.809087883345816605e-01,6.907429822381022655e-01,1.106300311622336219e+00,1.769387556337961576e-01
2.076449924212617759e-01,6.869502209168198981e-02,3.592545811773986686e-01,2.416886574713652536e-01
7.109049083205660757e-01,3.152824941367470268e-01,7.547159116376090937e-01,2.575920318084249927e-01
4.118518131491223366e-01,2.202818738846286373e-01,2.493370304976356699e-01,5.212950133828952309e-02
1.048408257945918631e-01,6.742851378714285193e-01,1.124615868780795225e+00,1.967160470386252191e+00
6.310040902975845301e-01,7.915072288462906558e-01,2.017139794795703711e+00,3.014847068246444550e-01
8.315853156080861563e-02,1.341144475361743249e-01,1.279084601522660902e-01,2.057778231001253233e-01
3.582844541987559861e-01,1.168427965764593957e+00,3.310453325743066277e-01,9.553753308500912977e-01
1.150257781169145899e+00,6.047685183891251537e-01,1.672578934724141542e-01,7.270290338346617753e-01
6.811418605872289478e-02,1.465751873450502396e+00,1.161179473477394364e+00,2.041588954338373341e-01
1.303161361068181368e-01,2.761609351318734459e-02,1.336705357321549048e+00,8.860318332948315112e-02
3.955912846852138731e-01,1.315345881671426964e-01,1.725287451329571065e+00,1.705797354415491407e+00
5.317893561341788811e-01,1.577063225950523229e-01,1.154066609398642473e+00,2.114182978162287285e-01
1.596161294991181645e+00,4.286608192127424055e-01,2.539310184736869314e+00,3.055895033298915209e+00
2.264641161489825139e-01,3.603066871165319096e-01,4.959536907131281147e-01,1.303189047593915850e+00
2.401819544960398733e+00,2.035199856328703538e-01,1.413829420222476374e+00,1.063401883637041356e+00
2.631955269075701431e-01,1.961391722282767591e-01,4.594687245510666040e-02,5.034535946210789981e-02
2.304561281334307765e-01,2.222159953134109911e-01,3.006696889119136351e+00,4.989463071254816029e-01
2.081261954645412249e-01,2.183582537347890928e-01,1.014474259657950128e+00,7.790950882780937892e-02
2.244442204233507265e+00,3.943384242516727589e+00,8.340091029727465965e+00,1.609318809866022715e+00
3.615364940887738077e-01,2.804448213001478063e-01,6.811348130790580990e-01,4.497571196654123193e-01
9.202443554174183360e-02,8.175311472922019984e-01,4.200843781361895402e-01,5.159389813292545313e-01
6.383923589923629072e-01,4.105668991420989289e-01,4.713339019757792236e+00,6.437679994156569885e-01
7.706643819539693574e-01,3.139686751358984118e+00,1.923030064768862235e-01,2.691766838746788348e+00
5.677898802022158797e-01,4.150213687542908536e-01,6.406000314028603704e-01,2.568815463916090946e-01
1.333372807079559463e-01,2.722909277146952009e-02,1.606321680111851835e+00,1.805285878316411075e-01
1.264434990094938094e+00,1.161706393973528789e-01,5.788008072998172437e+00,1.164352801133287096e+00
9.413940712493202856e-01,9.549816933266425112e-01,3.541037798791031310e-01,2.102340574910905868e+00
5.408801788157697743e-01,1.446054064425268126e-01,7.632943101613486325e-01,7.477747684663590411e-01
1.275692615296522558e-01,2.221724659131678881e-01,7.379532777681363509e-01,4.165115045083600087e+00
2.497877066774364940e-01,1.574364344361136800e-02,3.620681994694621597e+00,1.718626226385978617e+00
2.097005188271380050e+00,1.844684234540088785e-01,3.993564340907403837e-02,4.072612412428560091e+00
9.956824902034179248e-01,1.786729412885705581e-01,7.005775305466457326e-01,2.014476177141412361e+00
5.400773017993948377e-01,4.975681426565523036e-01,2.688262326893646303e+00,7.352309738038259601e-01
2.247907545315874223e-01,7.853644294246615865e-02,1.804636552130747029e+00,9.766446577724842149e-01
1.378493378566317817e+00,6.598150660763747212e-03,2.081766460156491583e+00,7.573811307999156472e-01
1.017625471034125040e+00,1.100838513214692060e+00,2.755630799550127463e+00,1.722438534510514208e+00
1.673908748704393545e+00,8.369444358173763199e-01,2.220118858198300238e+00,4.117472414545546022e-01
4.109286366169727089e-01,8.090337952626869278e-02,2.818086604286492936e+00,6.143320822584042579e-02
2.784662727385847081e+00,4.639013973096230842e-02,2.407487722681056930e+00,2.897801943274175951e+00
3.665551415843487093e-01,1.051458105567903090e+00,7.856014667249670014e-01,3.557349917546291707e+00
1.585716939218391186e+00,5.500063992552577108e-02,2.305011813568426771e+00,2.233624041732779619e-01
4.158991069033445287e-01,2.556750557606642715e+00,7.840808877879578143e-01,4.111744825561692296e-01
4.428658721345252181e-01,1.204507887927557253e+00,1.367694674383405973e+00,1.528147419661707085e+00
1.180069850339308772e-02,2.356522723047402550e-03,1.989487597767654881e-01,1.578621116377802447e-01
1.007833458111436764e+00,5.450589521346164285e-02,8.241758774536226406e-01,3.048570920287913336e-02
4.004777538012885274e-01,2.683259192509088731e-01,6.863365591001598931e-01,1.293352351418664226e+00
2.950724025408155260e+00,1.468520099009127389e-01,1.002661268348201240e+00,2.831547453100522471e-01
3.934165774625454914e-01,9.738486113117619802e-02,4.642528709777684170e+00,4.115636319621199246e-01
1.333032515439961097e-01,9.206872087188020318e-03,2.303566462126059200e+00,1.117091749017269153e+00
8.715525211813259787e-01,8.579210835371801902e-02,4.502187844327750099e+00,1.158845391292142812e+00
1.165893430221799643e-01,3.527227211064083712e-02,3.720150443593147060e-01,7.041201878364391487e-01
3.001235768759514810e-01,4.160990086749930761e+00,3.502391830180160426e+00,4.107926985778970197e-01
4.494294826480498273e-01,2.455697390789275958e-01,1.798612651776841098e-01,2.518470664865622433e-01
7.637088138260450521e-01,5.211606422315417930e-01,3.605401201968677638e-01,5.433756406030569863e-01
1.263178286414486928e-01,2.308066965370942636e-01,1.292757323963107385e+00,2.382763249275350048e-01
2.923906052685586232e+00,6.144369465267346397e-02,9.188787822284466555e-01,9.467631481360117007e-01
4.855629800509294047e-01,2.973439480917661748e-01,4.481040818617802124e+00,5.031753386417157081e+00
6.899625940239998423e-01,9.118014611631224120e-02,3.821162821733475323e-01,3.610817779345646961e-01
6.967984112848345513e-01,1.554741807808961152e-02,2.562587405299509569e-01,6.683203803284855082e-01
3.588815836812040971e-01,9.344836977241819387e-01,1.747606993298332467e+00,2.258633021258948381e-01
1.175594909739561933e+00,2.048823130674599646e-01,2.059741914173283561e+00,3.618566546215602475e-01
5.695034302444040852e-02,2.070272258416674116e-01,8.181357735383769370e-02,2.771229537226763906e+00
3.516860673700950568e-01,6.777003725589819672e-02,2.264540789796003040e+00,3.888227332142080717e-01
1.695701162566118914e-01,2.384489060093113177e-01,1.573544971408952886e+00,1.139953810355443659e-01
6.806499319697055794e-01,1.195838360376496157e+00,7.357951694185002056e-01,3.663051765615980004e-01
1.818399278678345388e+00,1.177185488495522819e-01,3.978186531425179862e+00,1.088400999417199255e+00
1.069381337036378721e+00,8.256351975866456083e-01,7.849536648931609850e-01,1.000747070376112879e-01
1.385048518300627529e-01,7.786123845566620405e-01,9.837838576563772364e+00,2.199900322990480939e-01
1.636211123339423645e+00,1.421865548385793376e-01,2.152866788752644034e+00,1.588679581678822117e-01
1.691672189714824026e-02,9.956279006524211550e-02,4.807684697910988292e-01,2.725673436682361839e+00
1.241489972929538554e+00,4.698207204695267758e-01,7.251314552732005536e-01,2.038233820680951158e+00
1.698379501354057020e-01,2.255188798374848869e+00,1.181214986895108510e+00,4.410945327525090498e+00
1.051079959797338592e+00,1.949467182911064356e+00,3.585083565701018271e-01,1.338841126381839386e+00
2.728743089486531659e-01,7.362994296361721203e-01,3.393126815127518459e+00,3.875291262048300434e-01
2.466667652014077061e-01,6.942275481846190699e-01,1.212901551025626024e+00,9.395057625454570349e-01
6.147478523834688513e-01,4.441926446350193125e-02,2.526640670168565528e+00,6.008456234009866836e-01
9.225273243843824522e-01,6.646134766207226763e-01,4.614629631164648416e+00,1.354964569439141364e+01
3.661514210629244759e-01,1.384281210749460866e+00,9.951146744960460699e-01,1.784960497977941540e-01
1.798102705693813474e+00,6.598577955997951550e-02,4.038437061370780512e+00,2.512357952444447262e-01
2.980488440797273708e-01,1.211228970551147643e+00,1.762875877915268896e+00,1.653752367577184135e+00
2.390597061677094404e-01,3.755915648465576462e-01,1.552891125901408653e+00,3.037925797047988485e+00
2.403370132039018836e-01,3.817328021193562571e-02,3.452876364846504953e-01,3.103245721699607329e-01
1.366217081979881898e-01,1.349893401301412443e-01,9.295068386771767610e-01,6.300433171624330031e-01
2.010418146814548557e+00,1.059368960811602096e-02,1.418204330164586635e-01,7.610334307196237047e-01
1.257048796558582815e+00,5.334957670354620873e-01,4.250674005041747971e-01,9.234920709344932588e-01
6.849209891939666006e-01,7.341713324209853987e-03,1.807208086580026851e+00,1.025544315903862191e+00
9.537339069749435350e-01,1.918376801754629463e-02,2.107699787175169703e+00,1.675974378416473023e-02
2.035211752808701313e-01,1.551482857681212198e-02,1.044668390002150060e+00,4.161825098715088989e-01
1.066719658443438190e+00,5.858481940886699907e-02,1.403628735969505659e+00,1.472388434317925654e+00
2.726758861041103099e-01,1.928383924931675042e-01,1.739043688529841258e+00,8.088201042434640942e-02
7.328106030164928397e-02,1.003839410230248141e+00,3.730484495627862662e-01,2.662285506039706373e+00
2.540687194450677935e-02,2.591705975865593037e-01,1.516001742999347535e+00,1.852189394547479606e-01
1.830588415222906606e+00,5.720747938869756577e-02,3.906378851935822460e+00,6.636477104274188799e-01
1.054591961142501866e+00,5.899383811196864946e-02,6.817368166119280870e-01,2.419478970451607758e+00
9.511440987294443872e-01,5.364169872061212985e-01,1.610547281547318743e+00,8.266738853048367919e-02
3.063291141690546726e-01,1.787112575678462267e-02,7.647170971740935297e-01,7.791360527585043660e-02
3.930570924972563024e-02,1.130468017758713140e-01,9.576372557914947237e-01,4.142459833719507878e-01
1.448981637138436751e+00,3.814685295163927625e-01,8.237702148874465058e-01,7.771494401081328052e-01
1.133969465840280799e+00,2.408194363451892639e-01,3.559102787671359902e-01,3.694799589729502731e-02
4.652493547264154872e-01,4.686113596051111330e-01,7.964919402420596040e-01,5.874085211045192434e-01
4.869861897938190243e-01,2.115378804627345843e-01,1.836644455228757244e-01,1.817162847231550415e-01
2.100676053179387770e-01,2.751637834474384703e-01,6.895010330236852614e-01,1.818236073095149674e+00
9.923932623454868596e-01,1.159425713453828000e-01,6.571714525791177985e-01,1.897155515132873171e+00
1.084592099176685975e+00,1.689601573086360331e-01,3.712897675846553724e-01,2.206198829730480426e+00
3.913209173056401702e-01,3.316837777182912173e-01,1.624798105761996236e+00,1.231363654255021700e+00
2.338176796032122307e-02,4.566518947089131392e-02,1.949462664608833995e+00,2.750848363775361127e-01
2.186392238735855198e+00,7.161481433392220541e-01,2.458951883183869924e+00,1.153882772966492443e-01
5.766082084109770411e-01,3.817714851704754331e-01,1.758276768984279759e+00,7.812591983098454707e-02
7.685263163009355969e-01,1.721659320353609857e-01,2.899709851761895330e+00,6.984022050713035723e-01
2.939325197702409298e-01,4.985924877060648325e-02,8.216404990243015849e-01,4.031275445292633597e-01
1.536289433280438654e+00,1.974287165474244654e+00,6.220297813967965439e+00,7.831130275513329408e-01
4.582706070897658163e-02,1.024414143451401332e-01,1.061746277438345709e+00,8.932855649858609803e-01
1.169504834781609076e-01,2.602484412544400771e-01,7.162013430923342971e-01,9.109827069628663176e-01
2.422531516559236209e-01,8.637328654385747484e-01,9.268686266403094454e-01,3.458333616555590240e+00
7.150472738440381004e-01,1.340715273197663482e-01,4.196817673318212760e-01,1.160782223198931901e-01
5.014015869427900229e-01,3.678247813263856025e-02,1.647805277296372273e+00,1.104202179788831423e-01
1.622837467950865031e-01,1.654617550773738316e-02,3.869698503758149943e+00,1.200434226116934955e+00
7.875362596603001364e-02,7.967452253660187167e-02,9.959117040979998947e-01,4.172024711794389273e-02
5.688053531699303056e-01,1.897759667725969490e-01,3.050543409140094031e+00,3.352588890915662589e-01
1.302220208771205368e+00,7.670540438435092812e-01,4.634845166579786735e+00,2.058807696177850755e+00
8.405802001646568433e-01,4.902059825246463456e-03,2.034460022461733075e+00,9.014405053550975655e-01
1.098109543507461261e+00,9.441404514433008321e-01,7.748504417238053499e+00,7.442570365340119010e-02
2.252102765879023527e-01,4.610422110455648093e-01,3.754902187074512732e+00,2.294170070311945420e+00
1.404956707137099414e+00,1.260278041304412899e-01,2.262677781575206382e+00,5.281832587388795019e-01
9.072909406339857430e-01,3.103262274700056000e-01,1.197675755743393911e+00,1.581471329935033809e+00
1.172697065800379773e-01,6.840067129471893992e-02,3.134548273354078596e+00,1.012643406643777499e+00
2.794681451248934856e-01,1.997988816435163073e-01,8.902464404323744418e-01,7.117130151621106071e-01
9.800157585553429529e-01,9.648586860296570755e-01,1.348531108119889410e+00,2.115805409419990735e-01
2.409646472026781283e-01,1.622629877523707465e-01,1.279367933067443674e+00,7.540410959974770677e-02
7.476671579512809140e-01,2.087604672284788104e-02,1.180312194358904415e-01,3.467066652132913540e-01
5.532229924717249059e-01,7.544930494471445703e-01,1.980224129208234096e+00,2.338065914467913897e-01
5.237121851815801366e-01,5.392085658566487805e-01,8.286412336522955835e-01,6.648080258692965483e-01
8.016006311440234677e-01,1.598999367418493522e-01,1.178171400067310193e-01,7.918912268806344024e-01
4.649696499871667776e-01,2.179084445696912176e-01,2.178906918090010247e+00,2.430082308744975494e-01
5.681624170766077508e-01,1.059170388299641857e-01,9.226811778377816409e-02,6.250976130236277406e+00
1.595955322671969989e-01,3.964957265656853802e-01,2.552788998312609081e+00,2.122277882227944001e+00
1.756008730240265603e+00,9.841682300554044360e-01,2.808042037130098034e+00,6.614015470134666508e-01
8.701685651400270505e-01,9.128194761395734547e-02,5.888677791322534105e+00,4.644807026967927577e+00
1.466794774023119363e-01,6.688890557612144246e-03,3.799653778187499498e+00,8.669048771151719457e-01
5.196447491094690063e-01,4.368826714681103146e-02,2.518132775889346586e+00,2.328452342426907684e+00
2.987466135453807903e-01,3.800576825224490779e-02,1.341914443392846046e+00,7.396268939702623779e-01
6.542924551469873895e-02,2.259327977910241883e-02,3.112941889714012866e+00,5.351273020913855927e-01
5.166380535707660870e-01,2.187939317664259337e-02,1.233904773631236962e+00,5.343991623167979599e-01
3.595517407469760868e-02,9.037568099616009876e-02,1.343817292594591706e+00,7.057828418547018590e-01
4.315585917118321124e-02,1.803572826408599505e+00,6.605264344562526979e-01,1.790183363544779027e+00
1.362911975209624149e-01,1.477427356547247050e-01,4.434039579700690403e-01,7.857447360645998524e-02
1.556029730970106773e+00,2.923703713203957277e-01,9.607494278410961819e-01,8.087296079091019219e-03
1.438526040456624688e+00,1.540041886142736079e-02,7.367112575474984437e-01,6.280211677462194109e-01
1.396926517794288891e+00,6.625857027926700393e-01,1.125171500165123906e+00,2.984007983426537614e-01
4.533066760691019659e-01,2.417363701091528733e-02,2.774812464283787694e+00,1.087035435139912937e-01
1.006975380066724490e+00,6.349679058698969036e-02,3.733250067342588352e+00,1.466986336428447890e+00
4.943415534274676892e-02,2.796404182976015562e+00,1.625248365813287132e-01,9.898074989631138187e-01
8.467732376799288474e-01,4.042145430149786112e-01,2.530396199861780770e-01,1.356953446314991818e-01
1.049491642762196836e-01,7.064650580619245002e-01,2.401524342934217682e+00,9.797952409464863455e-02
9.881282844373331375e-01,4.009847692949667919e-01,1.486882268126764051e-01,1.155959959410438609e+00
7.369637415620017284e-02,4.388024433785309708e-01,1.420114233057494513e+00,6.411056083302327790e-01
